                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.3096,                 1.0705,                 1.3202,                0.82212,                0.82759,                0.82367,                0.41949,                 1.6525,                 1.2448,                 1.8265,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2442,                 1.0418,                 1.3182,                0.84266,                0.82759,                0.89368,                0.46452,                 1.6401,                 1.0735,                 1.7991,               0.001109,               0.001109,               0.001109
                     47,                 1.2774,                 1.0177,                 1.3218,                0.85996,                0.84729,                0.91206,                0.50014,                 1.5017,                0.95788,                 1.6642,              0.0010892,              0.0010892,              0.0010892
                     48,                  1.238,                0.96501,                 1.2823,                0.84611,                0.75836,                0.87552,                0.53785,                 1.4126,                 1.0191,                 1.6031,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2298,                0.96762,                 1.3066,                0.85665,                0.82434,                0.88177,                0.54472,                 1.4529,                 1.0276,                 1.6291,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2119,                0.94936,                 1.2809,                0.90089,                 0.7931,                 0.8741,                0.49292,                 1.5236,                 1.0379,                 1.6783,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2019,                0.92255,                 1.2851,                0.74427,                0.96552,                0.87281,                0.42854,                 1.6465,                 1.1569,                 1.8208,                0.00101,                0.00101,                0.00101
                     52,                 1.2058,                0.92769,                 1.2833,                0.72986,                0.93103,                0.83296,                0.49162,                 1.5321,                 1.2049,                 1.6944,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2149,                0.95235,                 1.2651,                 0.6134,                0.86207,                0.75386,                0.40832,                 1.5945,                 1.3448,                 1.7319,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1666,                0.85172,                  1.245,                0.76584,                0.72414,                0.79555,                0.44318,                  1.579,                 1.2388,                 1.7369,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2408,                0.92244,                 1.3058,                0.87637,                 0.7931,                 0.8505,                0.46973,                 1.4748,                 1.1559,                 1.6424,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1825,                0.87538,                  1.243,                0.95562,                0.74291,                0.85515,                0.45391,                 1.4917,                  1.114,                 1.6256,               0.000911,               0.000911,               0.000911
                     57,                 1.1293,                0.88095,                 1.2406,                0.95908,                0.80856,                0.85859,                0.50697,                 1.4351,                 1.0411,                 1.5875,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.133,                0.87122,                 1.2457,                0.91796,                0.86207,                0.87433,                0.51501,                 1.4523,                 1.0229,                  1.616,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1381,                0.91776,                 1.2132,                0.84702,                 0.7931,                0.85358,                0.49539,                 1.4436,                  1.094,                   1.67,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1528,                0.85868,                 1.2355,                0.74789,                0.92082,                0.80258,                0.49315,                 1.5068,                 1.2489,                 1.7455,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1274,                0.83622,                  1.218,                0.80382,                0.84802,                0.86987,                0.48062,                 1.5402,                 1.2694,                 1.7208,               0.000812,               0.000812,               0.000812
                     62,                 1.1165,                0.83859,                 1.2282,                0.96213,                0.87636,                0.90111,                0.53564,                 1.5032,                 1.0107,                 1.6601,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1685,                0.88741,                 1.2585,                0.95454,                0.82759,                0.88962,                0.55618,                 1.4658,                 1.0086,                 1.6242,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1215,                0.82303,                  1.193,                0.93117,                0.75862,                0.90382,                0.51834,                 1.5674,                0.95921,                 1.7732,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.071,                0.80485,                 1.2032,                0.89242,                0.85829,                0.90783,                0.51284,                 1.5389,                0.97296,                 1.7002,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0773,                 0.8326,                 1.1926,                0.84803,                0.82759,                0.81101,                0.47581,                 1.5502,                 1.0421,                 1.6755,               0.000713,               0.000713,               0.000713
                     67,                 1.1238,                0.78989,                 1.2235,                0.80217,                0.83921,                 0.7773,                0.43354,                 1.6822,                 1.0537,                 1.7787,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0681,                0.81641,                 1.2027,                0.79006,                0.82759,                0.79596,                0.47208,                 1.5932,                  1.066,                 1.7129,              0.0006734,              0.0006734,              0.0006734
                     69,                  1.083,                0.77501,                  1.182,                0.75139,                0.86207,                0.78997,                0.48435,                 1.5005,                 1.1057,                 1.6302,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1231,                 0.8092,                 1.2051,                 0.7196,                0.89655,                0.83768,                0.52085,                 1.5232,                 1.0332,                 1.6886,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0808,                0.79026,                 1.1844,                0.86524,                 0.7931,                0.88914,                0.56593,                 1.4227,                0.94306,                 1.6235,               0.000614,               0.000614,               0.000614
                     72,                 1.0647,                0.75382,                 1.1889,                0.82594,                0.89655,                0.89116,                 0.5834,                 1.3615,                0.88597,                 1.5338,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0563,                0.71422,                 1.1452,                0.86461,                0.82759,                0.88597,                0.53901,                 1.4102,                 0.9296,                 1.5775,              0.0005744,              0.0005744,              0.0005744
                     74,                0.98372,                 0.7307,                 1.1316,                0.87462,                0.86207,                0.86754,                0.51067,                 1.5149,                0.94379,                  1.729,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0134,                0.74203,                 1.1625,                0.95995,                0.82655,                0.91955,                0.53313,                 1.5314,                0.95854,                 1.7479,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0539,                0.71323,                 1.1646,                 0.9004,                0.82759,                0.92005,                0.52498,                 1.4385,                0.91447,                 1.6321,               0.000515,               0.000515,               0.000515
                     77,                0.97952,                0.70472,                 1.1456,                0.92482,                0.84865,                0.91453,                0.53053,                 1.4332,                0.96736,                 1.6431,              0.0004952,              0.0004952,              0.0004952
                     78,                0.99307,                0.73191,                 1.1612,                0.93538,                0.82759,                0.90644,                0.55122,                 1.4202,                0.96776,                  1.656,              0.0004754,              0.0004754,              0.0004754
                     79,                0.96968,                0.68891,                 1.1765,                0.89048,                0.84145,                0.87892,                0.54823,                 1.4676,                0.91247,                 1.6725,              0.0004556,              0.0004556,              0.0004556
                     80,                0.96278,                0.72112,                 1.1453,                0.84786,                0.86207,                0.86985,                0.54406,                 1.4492,                 0.9576,                  1.655,              0.0004358,              0.0004358,              0.0004358
                     81,                0.99502,                0.72551,                 1.1537,                0.91595,                0.82759,                0.87167,                0.51159,                 1.4734,                  1.005,                  1.692,               0.000416,               0.000416,               0.000416
                     82,                0.93007,                0.67474,                 1.1279,                0.92006,                0.82759,                0.85862,                0.53172,                 1.4045,                0.98109,                 1.6263,              0.0003962,              0.0003962,              0.0003962
                     83,                0.98965,                 0.7156,                 1.1497,                0.87909,                0.82759,                0.86843,                0.52094,                 1.3954,                0.99544,                 1.6117,              0.0003764,              0.0003764,              0.0003764
                     84,                0.98575,                0.68465,                 1.1654,                0.84668,                 0.7931,                0.84275,                 0.5203,                 1.4423,                0.98866,                 1.6837,              0.0003566,              0.0003566,              0.0003566
                     85,                0.95883,                0.71091,                 1.1562,                0.90825,                0.82759,                0.87632,                0.52284,                 1.4237,                0.95681,                  1.661,              0.0003368,              0.0003368,              0.0003368
                     86,                0.96252,                0.71222,                 1.1536,                0.90911,                0.82759,                0.88773,                0.52073,                 1.4276,                0.92907,                 1.6587,               0.000317,               0.000317,               0.000317
                     87,                0.93545,                0.68181,                 1.1383,                0.91533,                0.82759,                0.90153,                0.52449,                  1.393,                0.91736,                 1.6147,              0.0002972,              0.0002972,              0.0002972
                     88,                0.92346,                0.66165,                 1.1044,                0.89527,                0.82759,                0.91292,                0.54714,                 1.4209,                0.89643,                 1.6361,              0.0002774,              0.0002774,              0.0002774
                     89,                0.96089,                0.66527,                 1.1291,                0.91287,                0.82759,                0.91362,                0.54472,                 1.4238,                0.88634,                  1.639,              0.0002576,              0.0002576,              0.0002576
                     90,                0.94745,                 0.6627,                 1.1213,                 0.9135,                0.82759,                0.91142,                0.53434,                 1.4351,                0.88079,                 1.6326,              0.0002378,              0.0002378,              0.0002378
                     91,                0.82691,                0.61966,                 1.0899,                0.91496,                0.82759,                0.90755,                0.53022,                  1.403,                0.84382,                 1.6147,               0.000218,               0.000218,               0.000218
                     92,                0.81739,                0.58146,                  1.075,                0.90128,                0.82759,                0.90878,                0.54992,                 1.4137,                0.84031,                 1.6245,              0.0001982,              0.0001982,              0.0001982
                     93,                0.75516,                0.56007,                 1.0535,                0.85502,                0.86207,                0.90917,                0.53282,                 1.4215,                0.88236,                 1.6336,              0.0001784,              0.0001784,              0.0001784
                     94,                0.81639,                0.56008,                 1.1148,                 0.8291,                0.89655,                0.90778,                 0.5149,                 1.4291,                0.88453,                 1.6272,              0.0001586,              0.0001586,              0.0001586
                     95,                0.74813,                0.49832,                 1.0594,                0.89155,                0.85072,                0.90708,                0.51475,                 1.4394,                0.90425,                 1.6242,              0.0001388,              0.0001388,              0.0001388
                     96,                0.78913,                0.53988,                 1.0474,                0.88574,                0.82759,                0.91063,                0.55056,                 1.4256,                0.89113,                 1.6119,               0.000119,               0.000119,               0.000119
                     97,                0.73441,                0.51462,                 1.0523,                0.88309,                0.82759,                0.90918,                0.54671,                 1.4193,                0.88731,                 1.6105,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.76531,                0.51979,                 1.0512,                0.88248,                0.82759,                 0.9108,                0.53027,                 1.4111,                0.88347,                 1.6066,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.72174,                0.50569,                 1.0259,                0.88183,                0.82759,                 0.9139,                0.53432,                 1.4045,                 0.8737,                 1.5999,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.70215,                0.47886,                 1.0137,                0.88083,                0.82759,                0.91205,                0.52593,                  1.403,                0.88984,                 1.5993,               3.98e-05,               3.98e-05,               3.98e-05
