                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.3115,                  1.078,                 1.3559,                0.91563,                0.74872,                0.87817,                0.47577,                  1.516,                 1.1147,                 1.7361,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2167,                  1.016,                 1.3128,                0.84463,                0.86207,                0.89829,                 0.5022,                 1.4358,                 1.0271,                 1.6318,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2667,                 0.9665,                 1.3141,                0.67762,                0.89655,                  0.831,                0.45867,                 1.4526,                 1.1276,                 1.6239,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2267,                0.99435,                 1.2974,                0.75644,                0.82759,                0.84236,                0.44104,                 1.5019,                 1.2134,                 1.6633,                0.00101,                0.00101,                0.00101
                     52,                 1.1874,                0.97153,                 1.2691,                0.87551,                0.65517,                0.75792,                0.46127,                 1.4389,                 1.2195,                 1.6007,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1529,                0.87295,                 1.2341,                0.71654,                0.78471,                 0.7133,                0.38394,                 1.6302,                 1.3599,                 1.7214,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.271,                 0.9832,                 1.2906,                0.74019,                0.78609,                0.78693,                0.43564,                 1.6161,                 1.1872,                  1.725,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1917,                0.93195,                 1.2658,                0.92305,                0.82727,                 0.8723,                  0.533,                 1.4657,                0.99728,                 1.6772,              0.0009308,              0.0009308,              0.0009308
                     56,                  1.163,                0.89098,                   1.27,                0.73881,                0.89655,                0.85381,                0.51495,                  1.377,                 1.0417,                 1.5936,               0.000911,               0.000911,               0.000911
                     57,                 1.1532,                0.91002,                  1.243,                0.83269,                0.86207,                0.87566,                0.52918,                 1.3492,                 1.0319,                  1.596,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2097,                0.96578,                 1.3046,                0.88804,                0.82759,                 0.8793,                0.55371,                 1.3659,                0.98811,                 1.5496,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2058,                0.91097,                 1.2709,                0.88041,                0.76167,                0.86577,                 0.5575,                 1.3451,                0.98979,                 1.5209,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1959,                0.90322,                 1.2632,                0.91273,                0.86207,                0.88601,                0.53215,                 1.3713,                0.99345,                 1.5564,              0.0008318,              0.0008318,              0.0008318
                     61,                  1.159,                0.84028,                  1.275,                0.82024,                0.82759,                 0.8605,                0.52385,                 1.4303,                0.97764,                 1.6117,               0.000812,               0.000812,               0.000812
                     62,                 1.1357,                0.88987,                 1.2374,                0.82758,                0.82759,                0.84881,                0.51989,                 1.5172,                 1.0475,                 1.6751,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1475,                0.85485,                 1.2495,                0.85081,                0.82759,                0.84109,                0.52206,                 1.4476,                 1.0386,                 1.6609,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1374,                0.83951,                 1.2366,                0.88111,                0.82759,                0.86052,                0.51724,                 1.5166,                 1.1274,                 1.7361,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1045,                 0.8727,                 1.2269,                0.87875,                0.75862,                0.81107,                0.50256,                 1.5762,                 1.1638,                 1.7337,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1157,                0.84273,                 1.2143,                0.84738,                0.82759,                0.85192,                0.48593,                 1.5478,                 1.1725,                 1.7087,               0.000713,               0.000713,               0.000713
                     67,                 1.1047,                0.83214,                 1.2252,                0.85023,                 0.7931,                0.86289,                0.50801,                  1.502,                 1.1732,                 1.6506,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1129,                0.82988,                 1.2371,                0.96026,                0.83343,                 0.8904,                0.53083,                 1.4577,                 1.0362,                 1.6685,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0636,                0.78522,                 1.1828,                 0.9386,                0.75862,                0.88711,                0.51661,                 1.4692,                0.98143,                 1.6806,              0.0006536,              0.0006536,              0.0006536
                     70,                   1.09,                0.82512,                 1.2073,                 0.9526,                0.75862,                0.90635,                0.51629,                 1.3879,                 0.9836,                 1.6042,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1324,                0.79899,                 1.2203,                0.98901,                0.82759,                0.93059,                0.53583,                 1.3739,                0.96805,                 1.5734,               0.000614,               0.000614,               0.000614
                     72,                 1.0513,                0.78379,                 1.1902,                0.95879,                0.80257,                0.92308,                0.55874,                  1.417,                0.87877,                 1.6026,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0181,                0.75688,                  1.168,                0.92496,                0.85042,                0.93687,                0.55991,                 1.3985,                0.86872,                 1.5802,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0352,                0.75376,                 1.1612,                0.84673,                0.95272,                0.93968,                0.55214,                 1.4289,                0.85882,                 1.6347,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0605,                  0.748,                 1.1859,                0.81749,                0.93103,                0.93689,                0.58144,                 1.3759,                0.86759,                 1.6136,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0884,                0.79037,                 1.2184,                 0.8885,                0.82447,                0.92178,                 0.5741,                 1.3748,                 0.8154,                 1.5884,               0.000515,               0.000515,               0.000515
                     77,                 1.0628,                0.77007,                 1.2195,                0.86559,                0.86207,                 0.9266,                0.57979,                 1.4403,                0.83552,                 1.5941,              0.0004952,              0.0004952,              0.0004952
                     78,                0.99743,                0.74743,                 1.1441,                0.89526,                0.88448,                 0.8992,                0.55215,                 1.4723,                 0.8473,                 1.6013,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0435,                0.74367,                 1.1937,                 0.8213,                0.82759,                0.86721,                0.51207,                 1.5239,                0.89048,                 1.6609,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0185,                0.79434,                 1.1849,                0.85169,                0.82759,                0.89481,                0.51859,                 1.4901,                0.85375,                 1.6373,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0278,                0.74738,                  1.179,                0.77797,                0.89655,                0.87322,                 0.5162,                 1.4503,                0.86142,                 1.6138,               0.000416,               0.000416,               0.000416
                     82,                 1.0951,                0.75815,                 1.2208,                 0.7797,                0.85449,                0.84121,                0.46936,                 1.4896,                0.91565,                 1.6627,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0333,                0.71411,                 1.1698,                0.79589,                0.80705,                0.80741,                0.46093,                  1.501,                0.92536,                 1.6963,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0159,                0.72813,                 1.2005,                0.82069,                0.86207,                0.85522,                0.51292,                 1.3782,                0.90688,                 1.6243,              0.0003566,              0.0003566,              0.0003566
                     85,                0.97482,                0.70211,                 1.1501,                0.81797,                0.93103,                0.89244,                0.55054,                 1.3894,                0.88002,                 1.6332,              0.0003368,              0.0003368,              0.0003368
                     86,                0.99612,                0.70114,                 1.1657,                0.80996,                0.89655,                0.91103,                0.52913,                 1.4374,                0.84715,                 1.6488,               0.000317,               0.000317,               0.000317
                     87,                0.92777,                0.69958,                 1.1258,                 0.8946,                0.87837,                0.92218,                0.54285,                 1.4557,                0.86671,                 1.6531,              0.0002972,              0.0002972,              0.0002972
                     88,                0.92084,                0.68909,                 1.1268,                0.90861,                0.93103,                0.93492,                0.53968,                 1.4322,                0.84108,                  1.622,              0.0002774,              0.0002774,              0.0002774
                     89,                0.97269,                0.69016,                 1.1502,                0.92591,                0.93103,                0.93549,                0.53399,                 1.4199,                0.85161,                 1.5922,              0.0002576,              0.0002576,              0.0002576
                     90,                0.96089,                0.72722,                 1.1611,                0.88833,                0.89655,                0.91461,                0.52479,                 1.4385,                0.86835,                 1.5915,              0.0002378,              0.0002378,              0.0002378
                     91,                0.88371,                0.62622,                 1.1319,                0.89319,                0.89655,                0.91227,                0.54209,                 1.4269,                0.85695,                 1.5844,               0.000218,               0.000218,               0.000218
                     92,                0.86879,                0.62127,                 1.1163,                 0.8959,                 0.8905,                0.92574,                0.56176,                  1.398,                0.82729,                 1.5656,              0.0001982,              0.0001982,              0.0001982
                     93,                0.80017,                0.55876,                 1.0731,                0.89412,                0.89655,                0.93232,                0.55568,                 1.4416,                0.84775,                   1.61,              0.0001784,              0.0001784,              0.0001784
                     94,                0.81311,                0.55122,                 1.0889,                0.88663,                0.86207,                0.91004,                0.54053,                 1.4153,                0.85054,                 1.6232,              0.0001586,              0.0001586,              0.0001586
                     95,                0.80741,                0.54293,                 1.0847,                0.88169,                0.77125,                0.89822,                0.54323,                 1.4245,                 0.8477,                  1.644,              0.0001388,              0.0001388,              0.0001388
                     96,                0.82182,                 0.5603,                 1.0988,                0.85633,                0.86207,                0.91988,                0.54672,                 1.4277,                 0.8336,                  1.655,               0.000119,               0.000119,               0.000119
                     97,                0.77296,                0.52057,                 1.0844,                0.85326,                0.86207,                0.92094,                0.54607,                 1.4334,                0.84053,                 1.6601,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.77354,                0.52841,                 1.0635,                0.83407,                0.86678,                0.92241,                0.55394,                 1.4476,                0.84748,                 1.6676,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.76684,                0.52985,                 1.0666,                0.84004,                0.86207,                0.91988,                0.55696,                  1.455,                0.84471,                 1.6734,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.77163,                0.51311,                 1.0568,                0.86528,                0.88616,                0.91811,                0.55224,                 1.4592,                0.85631,                 1.6742,               3.98e-05,               3.98e-05,               3.98e-05
